company_id,from_year,to_year,from_pattern,to_pattern
TITAN,2022.0,2023,Cash Burner,Reinvestor
TITAN,2023.0,2024,Reinvestor,Deleverager
TORNTPHARM,2015.0,2016,Reinvestor,Deleverager
TORNTPHARM,2017.0,2018,Deleverager,Reinvestor
TORNTPHARM,2018.0,2019,Reinvestor,Deleverager
TORNTPHARM,2019.0,2020,Deleverager,Shareholder Returns
TORNTPHARM,2020.0,2021,Shareholder Returns,Deleverager
TORNTPHARM,2022.0,2023,Deleverager,Reinvestor
TORNTPHARM,2023.0,2024,Reinvestor,Deleverager
TRENT,2013.0,2014,Reinvestor,Cash Burner
TRENT,2014.0,2015,Cash Burner,Distress Signal
TRENT,2015.0,2016,Distress Signal,Deleverager
TRENT,2018.0,2019,Deleverager,Reinvestor
TRENT,2020.0,2021,Reinvestor,Shareholder Returns
TRENT,2022.0,2023,Shareholder Returns,Deleverager
TVSMOTOR,2014.0,2015,Deleverager,Reinvestor
TVSMOTOR,2015.0,2016,Reinvestor,Deleverager
TVSMOTOR,2017.0,2018,Deleverager,Reinvestor
TVSMOTOR,2018.0,2019,Reinvestor,Distress Signal
TVSMOTOR,2019.0,2020,Distress Signal,Reinvestor
TVSMOTOR,2021.0,2022,Reinvestor,Distress Signal
